step,train_loss,val_loss,perplexity,lr
0,10.937090950012207,10.936595954895019,56195.72441119145,0.0
500,6.4931573390960695,6.5645998764038085,709.5279405208755,0.0003
1000,6.015708637237549,6.15926085472107,473.07827200188956,0.0005999999999999998
1500,5.728067798614502,5.8103038024902345,333.7204953931444,0.0005999579484279895
2000,5.427075414657593,5.511921520233154,247.62648952195545,0.000599831806810734
2500,5.23206582069397,5.33853630065918,208.20773362401422,0.0005996216144404801
3000,5.096777515411377,5.179569187164307,177.60627944427702,0.000599327436790706
3500,4.941102819442749,5.0898652839660645,162.3679870088147,0.000598949365495728
4000,4.877609424591064,4.962117853164673,142.89610863288752,0.0005984875183221551
4500,4.704804811477661,4.867065191268921,129.93901061676738,0.0005979420391322072
5000,4.624994826316834,4.785256204605102,119.73203505330011,0.0005973130978389025
5500,4.5529209423065184,4.696808996200562,109.59688978098808,0.0005966008903531305
6000,4.527910008430481,4.615928401947022,101.0816293648162,0.0005958056385226274
6500,4.521076211929321,4.584711198806763,97.97488779136084,0.0005949275900628717
7000,4.474567627906799,4.514447832107544,91.32712419180119,0.0005939670184799228
7500,4.440765628814697,4.500306482315064,90.04472418746813,0.0005929242229852261
8000,4.4445429706573485,4.454711027145386,86.03128654629829,0.0005917995284024098
8500,4.353020291328431,4.404207563400268,81.79430035752861,0.0005905932850661052
9000,4.359484429359436,4.401385049819947,81.5637603381956,0.0005893058687128202
9500,4.334096984863281,4.3647066116333,78.62632850739682,0.0005879376803638991
10000,4.2200208234786984,4.365794687271118,78.71192646001522,0.0005864891462006073
10500,4.21560546875,4.312774105072021,74.6472813776362,0.00058496071743138
11000,4.240691370964051,4.309680500030518,74.41670900544729,0.0005833528701512719
11500,4.2346297454833985,4.285628361701965,72.64818171571856,0.0005816661051936585
12000,4.206935424804687,4.245728197097779,69.80657458521219,0.0005799009479742297
12500,4.162717547416687,4.284829845428467,72.59019411548094,0.000578057948327325
13000,4.163600497245788,4.276632122993469,71.99755232797958,0.0005761376803346662
13500,4.155693855285644,4.234825439453125,69.04962434125163,0.0005741407421465329
14000,4.161858234405518,4.203813242912292,66.94110767398713,0.0005720677557954435
14500,4.1067450857162475,4.195158452987671,66.36424635733353,0.0005699193670023971
15000,4.128197684288025,4.198242697715759,66.56924590617767,0.0005676962449757345
15500,4.122476329803467,4.179776124954223,65.35122106857663,0.0005653990822026853
16000,4.162835745811463,4.147648758888245,63.285026873590695,0.0005630285942336626
